Domande,Risposte
Di quale corrente letteraria faceva parte?,"Jane Austen è stata una figura fondamentale per la letteratura, dando un importante contributo per l'affermazione del cosidetto ""romanzo di destino"". Questa tipologia di romanzo costituisce uno sviluppo del romanzo di formazione ed è incentrato sulla narrazione della vita di tutti i giorni di persone qualsiasi."
Quali dei suoi romanzi sono stati pubblicati?,I romanzi pubblicati sono sei: - Ragione e sentimento - Orgoglio e pregiudizio - Mansfield Park - Emma - L’abbazia di Northanger - Persuasione
Di cosa trattano i suoi romanzi?,"Temi come il matrimonio, l’amore, il denaro, il decoro, le incomprensioni, gli ostacoli e i pregiudizi sociali che i protagonisti devono affrontare prima di raggiungere il lieto fine sono alla base dei romanzi di Jane Austen"
Da cose è caratterizzato il suo stile?,"Numerosi sono i dialoghi, resi attraverso l’utilizzo del discorso diretto, del discorso indiretto libero e con l’utilizzo dello stile epistolare. I dialoghi risultano essere costituiti da periodi brevi e con scambi di battute rapidi."
Quali opere sono state riadattate al cinema?,"Negli anni sono stati numerosi gli adattamenti cinematografici e televisivi delle opere e della vita di Jane Austen. Ecco la lista completa.

Basati su “Orgoglio e pregiudizio”:

Orgoglio e pregiudizio – film cinematografico del 1940
Orgoglio e pregiudizio – film cinematografico del 2005
Pride and Prejudice – film televisivo del 1938
Pride and Prejudice – serie televisiva del 1952
Orgoglio e pregiudizio – sceneggiato televisivo in lingua italiana del 1957
Pride and Prejudice – serie televisiva del 1958
De vier dochters Bennet – adattamento in lingua tedesca del 1961
Pride and Prejudice – serie televisiva del 1967
Pride and Prejudice – serie televisiva del 1980
Orgoglio e pregiudizio – serie televisiva del 1995
Il romanzo di Amanda – serie televisiva del 2008. Adattamento fantasioso del romanzo
Basati su “Ragione e sentimento”:

Ragione e sentimento – fil cinematografico del 1995
Sense and Sensibility – serie televisiva del 1971
Sense and Sensibility – serie televisiva del 1981
Sense and Sensibility – serie televisiva del 2008
Basati su “Mansfield Park”:

Mansfield Park – film cinematografico del 2000
Il film Metropolitan – film cinematografico del 1990. Adattamento contemporaneo ambientato a Manhattan
Mansfield Park – serie televisiva del 1983
Mansfield Park – film televisivo del 2008
Basati su “Emma”:

Emma – film cinematografico del 1948
Emma – film cinematografico del 1996
Emma. – film cinematografico del 2020
Ragazze a Beverly Hills – film cinematografico del 1995, ispirato parzialmente al lavoro della Austen
Emma – serie televisiva del 1960
Emma – serie televisiva del 1972
Emma – film televisivo del 1996
Emma – miniserie televisiva del 2009
Basati su “Persuasione”:

Persuasione – film cinematografico del 1995
Persuasion – serie televisiva del 1960
Persuasion – serie televisiva del 1971
Persuasion – serie televisiva del 2007
Basati su “L’abbazia di Nothanger”:

Northanger Abbey – film televisivo del 1986
L’abbazia di Northanger – film televisivo del 2007
Basati sulla vita di Jane Austen:

Becoming Jane – Il ritratto di una donna contro – film cinematografico semi-biografico, che racconta i primi anni della vita di Jane Austen del 2007
Io, Jane Austen – film televisivo del 2007 che narra degli ultimi anni di vita dell'autrice"
"Quale è il significato del titolo ""Orgoglio e Pregiudizio""?",Il titolo del libro chiaramente è di facile interpretazione: l’orgoglio evidenzia quello provato da Darcy e i pregiudizi sono quelli che accecano Elizabeth prima di conoscerlo meglio.
In quale periodo storico è stato scritto Orgoglio e Pregiudizio?,"Questo romanzo è stato scritto durante un periodo di importanti cambiamenti sociali e politici in Inghilterra, tra i quali ricordiamo la rivoluzione industriale."
Quale è il suo romanzo più celebre?,"Tra il 1796 e il 1797 scrisse First Impressions (Prime Impressioni), una prima versione del suo romanzo più famoso Pride and Prejudice (Orgoglio e Pregiudizio), pubblicato nel 1813"
Chi era?,"Numerosi sono infatti i dialoghi, resi attraverso l’utilizzo del discorso diretto, del discorso indiretto libero e con l’utilizzo dello stile epistolare. I dialoghi risultano essere costituiti da periodi brevi e con scambi di battute rapidi."
Dove ha studiato?,"Nel 1783 ha iniziato a frequentare, insieme alla sorella Cassandra, una scuola di Oxford, che ha poi dovuto abbandonare a causa di una epidemia di difterite. Le due sorelle hanno poi frequentato dal 1785 al 1786 la Abbey School di Reading."
